"高层（共7层）,简单装修,朝南,1997建成, 皮市巷小区",皮市巷小区 2室 1厅 1卫  面积46.8㎡,44872元/平米,上城 小营,挂牌时间：2018-10-25,44872元/平米
"中层（共13层）,毛坯,朝南,2006建成, 绿城春江花月",绿城春江花月 1室 1厅 1卫  面积65.51㎡,59533元/平米,上城 南星,挂牌时间：2018-10-25,59533元/平米
"中层（共32层）,毛坯,朝南,2008建成, 凤凰城",凤凰城 1室 1厅 1卫  面积73.23㎡,27448元/平米,上城 南星,挂牌时间：2018-10-25,27448元/平米
"低层（共7层）,毛坯,朝南,0建成, 世纪坊",世纪坊 2室 2厅 1卫  面积77.06㎡,53205元/平米,上城 近江,挂牌时间：2018-10-23,53205元/平米
"中层（共23层）,毛坯,朝南,2017建成, 钱江御府",钱江御府 3室 2厅 2卫  面积138.35㎡,65052元/平米,上城 望江,挂牌时间：2018-10-23,65052元/平米
"低层（共7层）,精装修,朝南,0建成, 天福花园",天福花园 3室 2厅 1卫  面积123.06㎡,52413元/平米,上城 近江,挂牌时间：2018-10-23,52413元/平米
"高层（共29层）,毛坯,朝南,2010建成, 水岸枫庭",水岸枫庭 5室 2厅 2卫  面积271.25㎡,58986元/平米,上城 望江,挂牌时间：2018-10-23,58986元/平米
"高层（共7层）,毛坯,朝西,0建成, 叶家弄",叶家弄 2室 1厅 1卫  面积50.78㎡,44309元/平米,上城 小营,挂牌时间：2018-10-23,44309元/平米
"低层（共36层）,普通装修,朝南,2009建成, 赞成太和广场",赞成太和广场 3室 2厅 2卫  面积158.63㎡,42111元/平米,上城 南星,挂牌时间：2018-10-22,42111元/平米
"低层（共21层）,毛坯,朝南,2017建成, 钱江御府",钱江御府 3室 2厅 2卫  面积148.92㎡,60435元/平米,上城 望江,挂牌时间：2018-10-22,60435元/平米
"高层（共24层）,精装修,朝南,2017建成, 金隅学府",金隅学府 3室 1厅 1卫  面积88.57㎡,76775元/平米,上城 望江,挂牌时间：2018-10-19,76775元/平米
"高层（共36层）,精装修,朝南,2009建成, 赞成太和广场",赞成太和广场 3室 2厅 2卫  面积163.06㎡,49982元/平米,上城 南星,挂牌时间：2018-10-19,49982元/平米
"低层（共7层）,毛坯,朝南,0建成, 复兴南苑",复兴南苑 2室 1厅 1卫  面积48.06㎡,43279元/平米,上城 复兴,挂牌时间：2018-10-19,43279元/平米
"中层（共9层）,毛坯,朝南,0建成, 皮市巷小区",皮市巷小区 2室 1厅 1卫  面积40.35㎡,50310元/平米,上城 小营,挂牌时间：2018-10-19,50310元/平米
"中层（共7层）,简单装修,朝南,1998建成, 复兴南苑",复兴南苑 2室 1厅 1卫  面积47.9㎡,45929元/平米,上城 复兴,挂牌时间：2018-10-19,45929元/平米
"高层（共7层）,普通装修,朝南,0建成, 华龙坊",华龙坊 2室 1厅 1卫  面积55.44㎡,54113元/平米,上城 近江,挂牌时间：2018-10-18,54113元/平米
"低层（共16层）,精装修,朝南,2007建成, 金都华府",金都华府 3室 2厅 2卫  面积131.78㎡,50463元/平米,上城 望江,挂牌时间：2018-10-18,50463元/平米
"中层（共30层）,毛坯,朝南,2008建成, 凤凰城",凤凰城 2室 1厅 1卫  面积104.23㎡,28783元/平米,上城 南星,挂牌时间：2018-10-18,28783元/平米
"低层（共17层）,精装修,朝南,2007建成, 金都华府",金都华府 3室 2厅 2卫  面积131.4㎡,60883元/平米,上城 望江,挂牌时间：2018-10-16,60883元/平米
"高层（共23层）,精装修,朝南,0建成, 绿城春江花月",绿城春江花月 2室 2厅 1卫  面积114.68㎡,61911元/平米,上城 南星,挂牌时间：2018-10-16,61911元/平米
"低层（共7层）,毛坯,朝南,0建成, 天福花园",天福花园 3室 2厅 2卫  面积142.32㎡,44969元/平米,上城 近江,挂牌时间：2018-10-16,44969元/平米
"低层（共22层）,简单装修,朝南,2014建成, 望江新园三园",望江新园三园 2室 1厅 1卫  面积58.51㎡,43582元/平米,上城 望江,挂牌时间：2018-10-16,43582元/平米
"高层（共30层）,精装修,朝南,2007建成, 赞成林风",赞成林风 3室 2厅 2卫  面积144.02㎡,59020元/平米,上城 望江,挂牌时间：2018-10-16,59020元/平米
"高层（共7层）,普通装修,朝南,0建成, 金狮苑",金狮苑 2室 1厅 1卫  面积57.55㎡,40834元/平米,上城 紫阳,挂牌时间：2018-10-16,40834元/平米
"低层（共36层）,精装修,朝南,2009建成, 赞成太和广场",赞成太和广场 3室 2厅 2卫  面积158.51㎡,50470元/平米,上城 南星,挂牌时间：2018-10-16,50470元/平米
"中层（共30层）,毛坯,朝南,2008建成, 凤凰城",凤凰城 3室 2厅 2卫  面积144.68㎡,33177元/平米,上城 南星,挂牌时间：2018-10-16,33177元/平米
"高层（共7层）,精装修,朝南,0建成, 金狮苑",金狮苑 1室 0厅 1卫  面积30.67㎡,42387元/平米,上城 紫阳,挂牌时间：2018-10-16,42387元/平米
"高层（共8层）,毛坯,朝南,0建成, 复兴南苑",复兴南苑 2室 1厅 1卫  面积64.36㎡,42262元/平米,上城 复兴,挂牌时间：2018-10-15,42262元/平米
"中层（共29层）,毛坯,朝南,2005建成, 凤凰南苑",凤凰南苑 2室 2厅 1卫  面积79.96㎡,45023元/平米,上城 南星,挂牌时间：2018-10-15,45023元/平米
"中层（共22层）,毛坯,朝南,2007建成, 城南家园",城南家园 2室 1厅 1卫  面积57.38㎡,40955元/平米,上城 望江,挂牌时间：2018-10-15,40955元/平米
"中层（共7层）,普通装修,朝南北,0建成, 凤凰北苑",凤凰北苑 2室 1厅 1卫  面积70㎡,52000元/平米,上城 南星,挂牌时间：2018-10-12,52000元/平米
"中层（共7层）,简单装修,朝南,0建成, 世纪坊",世纪坊 2室 1厅 1卫  面积76.1㎡,51248元/平米,上城 近江,挂牌时间：2018-10-12,51248元/平米
"高层（共7层）,精装修,朝南,0建成, 复兴南苑",复兴南苑 1室 1厅 1卫  面积33.91㎡,44235元/平米,上城 复兴,挂牌时间：2018-10-11,44235元/平米
